leftStudyLocusId,rightStudyLocusId,studyId,h4
8bb19ccb3ae52b03fcf89d6f4d142f9d,1a9aed8e3600ffcaa2ca7180365a87de,GCST90013983,0.9983785358343462
8bb501bfaa7f234a5fcb9a7c7f355af9,3007fca3106c97dd3ef59f9c8adc0a40,GCST90302230,0.9388786807149625
8bb971df53aec2b46a4304a1673f06e6,36670665d9ef365121fa69100d3e0ae2,GCST90093030,0.9972232717617533
8bbcd8d366eb61b5fa18a461e6da9522,5ae63d1a3e967f3e00144ca2b83c569f,GCST90269633,0.9881871544646811
8bbdecd638519fda290a5dd18651d6d0,0f9fe3c6cf21ee163bdf080abb19057c,GCST90092803,0.9951512185806767
8bbdecd638519fda290a5dd18651d6d0,1954fe48a097e2474cbaf2eea2e0b050,GCST90092803,0.9949707314310277
8bc0691dfb73eeaf1cf8ec9342071e75,3847df5d68cb9c351a9bd2d771453e10,GCST90320664,0.9505967938441778
8bc4c51b828e155d16137fd82bc03c67,2bf334b9fc8577c3ce09081fb16dfb88,GCST90020028,0.2453266948212312
8bc4c51b828e155d16137fd82bc03c67,3c1d9f9a79071874473bf5552aa21ded,GCST90020028,0.18987268701521118
8bc4c51b828e155d16137fd82bc03c67,4d68d559777e07cadaa643e43e94a723,GCST90020028,0.19284128562199307
8bc4c51b828e155d16137fd82bc03c67,6a3123d180dd4049ec97b2cf59cf0c3c,GCST90020028,0.24159690916492305
8bc8286c2b94d3794e2de679dd9dff8a,11b4387fd87318f15a5e95f77ce3ce88,GCST90003453,0.21002234262959074
8bc8286c2b94d3794e2de679dd9dff8a,75cbebd8b9729a3cb73198f1d76dc3c4,GCST90003453,0.23166312905545758
8bc8286c2b94d3794e2de679dd9dff8a,ae49947f85ae2586435f5c73a0f3ad4a,GCST90003453,0.23239672161694
8bc8286c2b94d3794e2de679dd9dff8a,e3cbfacb66c7508b6014d37910b2730b,GCST90003453,0.22851611479288694
8bc8286c2b94d3794e2de679dd9dff8a,eab913280c117878872be6a7fc47bc80,GCST90003453,0.0295678710402664
8bc8857a84c7490ea5e72f426c021b8e,3ed53c7f3a58ca76dacef0301dd95be7,GCST90384596,0.998602137366072
8bcc1e9e06cf11a0c4f10153e909544b,3bc91b75477ce9b890a75afcdfdca2af,GCST004599,0.07082382543206321
8bce035076ebcc902f6bacca90a0a16b,23ded3fbcb4f8ee7807cb14dfb37272c,GCST90199805,0.9587725220856065
8bce035076ebcc902f6bacca90a0a16b,acc7cc1016b2e1b081801a46c7b77aaa,GCST90199805,0.9557576226817789
8bceaf085b07eda0c08639f605846f1a,61a240d9c83cdb5943199b0c542ec1b6,GCST004620,0.8603252610377274
8bd087b7be94fecd04a7d57c01cd7166,b8683bdfde1156dab4dd1af0e6cf7254,GCST90013871,0.294859446911037
8bd187f1de5ba7928ad6c4d426433b7e,4597347c713b4dc105f29af70ff431db,GCST90446030,0.9524325150594465
8bd3b1effa33418e6b0c92f301cd40d1,22ad67b927b9dc65badaf0336bddddd6,FINNGEN_R12_AUTOIMMUNE,0.9939143071986838
8bd3b1effa33418e6b0c92f301cd40d1,cf572545cf5f94bf318bdd3c28721a96,FINNGEN_R12_AUTOIMMUNE,0.9930725508566273
8bd5801328d3a64f14b84694cfda5ab7,5dbda405902a0169980fea2c744ff8fe,GCST90239662,0.9643602067093955
8bd67f0a2c444d91809d277cd3f80d73,4c3b171df4b055304a55b0972aa040c4,GCST90024574,0.9717157585051717
8bdb81805fd5725eb9a60e82d60ae919,50dd9468b4b621e6d635d3f0c3025383,GCST90475505,0.7881915991916687
8bdb81805fd5725eb9a60e82d60ae919,c7df92c58a7bb514fbfc9790ef32e405,GCST90475505,0.626820657065599
8bdb89c10021b02c0d42b6e0948c6d16,5adbeb61126a40c5463550c24f3e59cd,GCST90388995,0.9897845992433053
8bdbdb8aa4dba0dce30e0793b28ede27,5c058edf68137859b6b0e700f4bd93ac,GCST90445862,1.0
8bdcf82a372d168970b926ad3690cb54,5d6b9e403cea72cfd2e95e453c0b5289,GCST90092866,0.995467114015132
8bdcf82a372d168970b926ad3690cb54,8886d4e5d0c936b7dbe3f7cf2badd659,GCST90092866,0.9866130156669999
8be12ffe438070d3532cf51d2af6629b,7db309140ed1e86316a4e5329e02a7eb,GCST90475124,0.8995202580345564
8be12ffe438070d3532cf51d2af6629b,de871d2df5f746da52fa11be4f43f740,GCST90475124,0.9031478166775524
8be1e2667e3b90d6fb88d9f0fa84c7d3,36c35b89c41409991354936130009927,GCST90014001,0.9966477805475079
